ID,Region,Cultivar,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Fruit_yield_Mg_ha,Yield class
2016_AB_030,Quebec,Stevens,10,1.2,5.6,2.3,10.9,0.03,0,0.03,0.37,0.06,26.43,Low yield
2016_AB_031,Quebec,Stevens,10,1.2,5.6,2.3,10.1,0.03,0,0.03,0.4,0.05,29.12,Low yield
2016_AB_032,Quebec,Stevens,10,1.1,5.9,2.2,9.9,0.03,0,0.03,0.43,0.05,25.88,Low yield
2016_AB_033,Quebec,Stevens,10,1.1,6.3,2.2,9.9,0.03,0,0.02,0.24,0.06,28.4,Low yield
2016_AB_034,Quebec,Stevens,10,1,6.3,2.1,9.8,0.03,0,0.02,0.22,0.05,24.01,Low yield
2016_AB_035,Quebec,Stevens,10,1.1,6.3,2.3,10.2,0.03,0,0.03,0.3,0.06,24.68,Low yield
2016_AB_036,Quebec,Stevens,10,1.3,6.9,2.1,9.6,0.03,0,0.02,0.26,0.05,25.35,Low yield
2016_AB_037,Quebec,Stevens,9,1.3,6.5,2.3,9.5,0.03,0,0.03,0.41,0.06,27.28,Low yield
2016_AB_038,Quebec,Pilgrim,10,1.1,5.8,2,9.3,0.02,0,0.03,0.22,0.06,31.39,Low yield
2016_AB_039,Quebec,Pilgrim,10,1.1,5.7,2,9.4,0.03,0,0.02,0.23,0.08,39.16,Low yield
2016_C_001,Quebec,Pilgrim,11,1.3,5.8,2.1,9.9,0.06,0,0.04,0.28,0.06,24.38,Low yield
2016_C_002,Quebec,Pilgrim,12,1.3,5.6,2.2,10,0.05,0.01,0.03,0.19,0.05,23.53,Low yield
2016_C_003,Quebec,Pilgrim,11,1.2,5.6,2.3,9.7,0.06,0,0.03,0.2,0.05,23.78,Low yield
2016_C_004,Quebec,Stevens,10,1.2,5.9,1.9,10,0.07,0,0.03,0.28,0.07,34.33,Low yield
2016_C_005,Quebec,Stevens,12,1.1,5.7,2.2,10.5,0.09,0,0.03,0.39,0.1,39.56,Low yield
2016_C_006,Quebec,Stevens,11,1.1,5.7,2,10,0.08,0,0.03,0.3,0.14,35.65,Low yield
2016_C_007,Quebec,Stevens,11,1.1,5.9,2,10,0.07,0,0.03,0.33,0.1,37.36,Low yield
2016_C_008,Quebec,Stevens,11,1.1,5.5,2.2,10.8,0.08,0,0.03,0.34,0.12,39.52,Low yield
2016_C_009,Quebec,Stevens,11,1.1,5.6,2.2,10.6,0.09,0,0.03,0.28,0.1,37.75,Low yield
2016_C_010,Quebec,Stevens,11,1.1,5.5,2.2,10.1,0.07,0,0.03,0.24,0.12,29.43,Low yield
2016_C_011,Quebec,Stevens,10,1.1,5.5,2,9.6,0.07,0,0.03,0.28,0.1,34.78,Low yield
2016_C_012,Quebec,Ben Lear,11,1.1,5.7,2,10.3,0.07,0,0.02,0.25,0.11,37.42,Low yield
2016_C_013,Quebec,Pilgrim,11,1.2,5.5,2,9.6,0.05,0,0.03,0.19,0.14,29.93,Low yield
2016_C_014,Quebec,Ben Lear,11,1.1,5.8,2,10.2,0.07,0,0.02,0.25,0.14,30.72,Low yield
2016_C_015,Quebec,Pilgrim,10,1,5.7,2,9.7,0.05,0,0.03,0.34,0.11,33.79,Low yield
2016_C_016,Quebec,Pilgrim,10,1.1,5.5,2.1,10.5,0.05,0,0.02,0.3,0.1,37.83,Low yield
2016_C_017,Quebec,Pilgrim,11,1,5.1,1.9,10.1,0.06,0,0.03,0.23,0.05,36.5,Low yield
2016_C_018,Quebec,Stevens,11,1,4.9,2,10,0.08,0,0.02,0.43,0.1,37.28,Low yield
2016_C_019,Quebec,Stevens,10,1,5.1,1.9,9.8,0.08,0,0.03,0.42,0.11,29.69,Low yield
2016_C_020,Quebec,Stevens,10,1,5.6,2.1,12.8,0.1,0,0.03,0.48,0.12,35.89,Low yield
2016_C_021,Quebec,Stevens,12,1,4.7,2.1,10.8,0.07,0,0.03,0.45,0.06,29.08,Low yield
2016_C_022,Quebec,DeMoranville,10,0.9,4.7,1.6,8.2,0.04,0,0.02,0.14,0.05,48.22,High yield
2016_C_023,Quebec,Stevens,11,1,5.1,2,9.6,0.07,0,0.03,0.39,0.06,46.03,High yield
2016_C_024,Quebec,Stevens,10,1,5.4,2,11.6,0.09,0,0.03,0.37,0.07,46.06,High yield
2016_C_025,Quebec,Stevens,10,0.9,5.7,1.9,10.5,0.08,0,0.03,0.35,0.1,45.93,High yield
2016_C_026,Quebec,Stevens,10,0.9,5.8,1.9,11.3,0.06,0,0.03,0.32,0.1,39.16,Low yield
2016_C_027,Quebec,Stevens,11,1,5.8,1.9,10.9,0.05,0,0.03,0.45,0.1,39.94,Low yield
2016_C_028,Quebec,DeMoranville,11,1.1,5.5,2,9.5,0.05,0,0.03,0.3,0.08,43.82,High yield
2016_C_029,Quebec,Stevens,10,1.1,6,2.2,10.5,0.09,0,0.03,0.53,0.09,42.04,High yield
2016_C_030,Quebec,Stevens,11,1,5.6,2,10,0.07,0,0.03,0.52,0.07,45.77,High yield
2016_C_031,Quebec,Stevens,10,0.9,5.3,1.8,10.1,0.05,0,0.03,0.51,0.07,46.05,High yield
2016_C_032,Quebec,Stevens,10,0.9,4.7,1.9,10,0.06,0,0.02,0.59,0.07,47.59,High yield
2016_C_033,Quebec,Stevens,10,0.9,4.8,2.2,10.3,0.06,0,0.02,0.59,0.07,42.83,High yield
2016_C_034,Quebec,Stevens,11,1,5.2,2.1,10.1,0.07,0.01,0.02,0.7,,45.92,High yield
2016_C_035,Quebec,Stevens,10,1.1,5.2,2.1,10.4,0.07,0,0.02,0.61,0.64,42.63,High yield
2016_C_036,Quebec,Stevens,11,1,5.5,2,10,0.07,0,0.02,0.5,0.43,43.59,High yield
2016_C_037,Quebec,Pilgrim,10,1,5,2,10,0.05,0,0.02,0.29,0.05,32.59,Low yield
2016_C_038,Quebec,Stevens,9,1,5.5,1.9,10,0.08,0,0.02,0.46,0.06,38.22,Low yield
2016_C_039,Quebec,Stevens,9,1,5.7,1.9,9.8,0.07,0,0.03,0.45,0.06,27.33,Low yield
2016_C_040,Quebec,Stevens,11,1.2,5.5,2.2,10.3,0.07,0,0.03,0.53,0.08,46.33,High yield
2016_C_041,Quebec,Stevens,11,1.2,5.3,2.2,10.1,0.06,0,0.03,0.47,0.31,42.59,High yield
2016_C_042,Quebec,Stevens,11,1.1,5.5,2,10,0.05,0,0.03,0.4,0.06,39.36,Low yield
2016_C_043,Quebec,Pilgrim,10,1.2,5.4,2.2,10.2,0.04,0,0.02,0.27,0.05,33.68,Low yield
2016_C_044,Quebec,Pilgrim,9,1.1,5.5,2.1,10.3,0.05,0,0.03,0.32,0.32,32.08,Low yield
2016_C_045,Quebec,Stevens,9,1,5.1,2,9,0.06,0,0.02,0.47,0.46,29.87,Low yield
2016_C_046,Quebec,Stevens,9,1,5.5,1.9,8,0.04,0,0.02,0.65,0.07,26.71,Low yield
2016_C_047,Quebec,Stevens,11,1,5.1,2.2,9.1,0.07,0,0.02,0.93,0.13,36.69,Low yield
2016_C_048,Quebec,Stevens,9,0.9,5.2,1.8,10.3,0.06,0,0.03,0.8,0.23,25,Low yield
2016_C_049,Quebec,Stevens,10,0.8,5.1,1.8,10,0.06,0,0.03,0.82,0.17,25,Low yield
2016_C_050,Quebec,Stevens,10,0.8,5.1,1.8,10.2,0.06,0,0.03,0.74,0.16,25,Low yield
2016_C_051,Quebec,Stevens,10,0.9,5.3,1.8,9.6,0.06,0,0.03,0.67,0.15,29.3,Low yield
2016_C_052,Quebec,Stevens,9,0.8,5.5,1.7,8.9,0.06,0,0.02,0.57,0.14,29.3,Low yield
2016_C_053,Quebec,Stevens,9,0.8,5.5,1.8,9.7,0.07,0,0.03,0.62,0.06,29.3,Low yield
2010_A_001,Quebec,Stevens,11,1.1,5.1,2,11.4,0.03,0,0.02,0.14,0.05,4.27,Low yield
2010_A_002,Quebec,Stevens,12,1,5.1,2.1,13.9,0.04,0,0.03,0.18,0.06,16.01,Low yield
2010_A_003,Quebec,Stevens,11,1.2,4.8,2.3,14,0.04,0,0.05,0.49,0.07,5.01,Low yield
2008_A_001,Quebec,Stevens,12,1,5.3,1.8,11.3,0.04,0,0.03,0.12,0.05,9.14,Low yield
2008_A_002,Quebec,Stevens,13,1,5.2,1.7,13.4,0.05,0,0.03,0.17,0.05,9.46,Low yield
2010_B_001,Quebec,Stevens,14,1.3,3.7,3.7,19.4,0.04,0,0.05,0.59,0.29,23.69,Low yield
2010_B_002,Quebec,Stevens,13,1.2,3.3,3.3,18.6,0.03,0,0.04,0.46,0.22,28.32,Low yield
2010_B_003,Quebec,Stevens,13,1.3,3.6,3.2,17.8,0.04,0,0.04,0.58,0.32,23.57,Low yield
2009_B_001,Quebec,Stevens,12,1.4,3.1,16.8,3.9,0.04,0,0.05,0.31,0.16,17.9,Low yield
2009_B_002,Quebec,Stevens,14,1.3,2.5,12.7,4.8,0.04,0,0.03,0.26,0.18,20.09,Low yield
2009_B_003,Quebec,Stevens,13,1.4,3,16.6,4.1,0.04,0.01,0.05,0.38,0.18,13.77,Low yield
2010_C_001,Quebec,Stevens,12,1.1,4.7,2.5,13.7,0.04,0,0.02,0.29,0.06,19.6,Low yield
2010_C_002,Quebec,Stevens,12,1.1,4.5,2.6,14.7,0.04,0,0.03,0.31,0.06,19.61,Low yield
2010_C_003,Quebec,Stevens,11,1.2,5.3,2.4,12.6,0.03,0,0.02,0.32,0.06,11.22,Low yield
2009_C_001,Quebec,Stevens,14,1.2,5.2,3,14.8,0.06,0,0.04,0.39,0.06,19.82,Low yield
2009_C_002,Quebec,Stevens,14,1.3,4.7,3.1,16.6,0.05,0,0.04,0.32,0.06,20.42,Low yield
2009_C_003,Quebec,Stevens,14,1.4,6,3,13.4,0.05,0,0.03,0.4,0.07,18.54,Low yield
2010_D_001,Quebec,Stevens,12,1,4.2,2.5,14.3,0.04,0,0.03,0.44,0.09,28.37,Low yield
2010_D_002,Quebec,Stevens,12,1.1,5.1,2.8,14.2,0.03,0,0.03,0.33,0.09,24.89,Low yield
2010_D_003,Quebec,Stevens,12,1.2,4.2,2.6,14.5,0.03,0,0.03,0.33,0.11,25.65,Low yield
2009_D_001,Quebec,Stevens,16,1,5.3,2.6,14.8,0.03,0,0.05,0.48,0.16,43.84,High yield
2009_D_002,Quebec,Stevens,16,1.2,5,2.7,13.7,0.03,0,0.04,0.32,0.11,23.45,Low yield
2009_D_003,Quebec,Stevens,15,1.2,6.3,2.4,13.6,0.03,0,0.05,0.43,0.13,24.64,Low yield
2010_E_001,Quebec,Stevens,11,1,4.3,2.5,13.2,0.03,0,0.03,0.34,0.04,15.3,Low yield
2010_E_002,Quebec,Stevens,11,1.1,4.4,2.3,11.5,0.03,0,0.03,0.28,0.05,14.97,Low yield
2010_E_003,Quebec,Stevens,11,1,4,2.6,13.9,0.03,0,0.03,0.37,0.05,15.42,Low yield
2008_E_001,Quebec,Stevens,11,1,3.8,2.8,14.1,0.02,0.01,0.04,0.22,0.06,30.04,Low yield
2008_E_002,Quebec,Stevens,12,1.1,4.5,2.4,10.5,0.02,0,0.03,0.17,0.07,24.16,Low yield
2008_E_003,Quebec,Stevens,12,1,4,2.4,13.9,0.02,0,0.04,0.29,0.07,31.43,Low yield
2008_F_001,Quebec,Stevens,12,1.1,6.2,1.7,10.6,0.04,0,0.03,0.17,0.09,16.07,Low yield
2008_F_002,Quebec,Stevens,13,1.1,5.9,1.9,10.5,0.04,0,0.03,0.2,0.11,31.14,Low yield
2007_F_001,Quebec,Stevens,12,1.2,1.9,10.9,6.4,0.05,0,0.04,0.2,0.08,40.22,High yield
2007_F_002,Quebec,Stevens,12,1.2,1.9,11.2,6.4,0.05,0.01,0.04,0.24,0.08,25.9,Low yield
2010_G_001,Quebec,Stevens,11,1.3,5.3,2.5,9.2,0.02,0,0.02,0.17,0.66,25.33,Low yield
2010_G_002,Quebec,Stevens,13,1.2,5.1,2.4,11.7,0.03,0,0.02,0.26,0.27,36.99,Low yield
2010_G_003,Quebec,Stevens,13,1.5,5.9,2,7.7,0.02,0,0.02,0.11,0.39,4.14,Low yield
2008_G_001,Quebec,Stevens,14,1.2,5.4,2.1,7.4,0.02,0,0.02,0.09,0.26,1.79,Low yield
2008_G_002,Quebec,Stevens,13,1.4,5.2,2.7,8,0.02,0.01,0.02,0.1,0.13,,Low yield
2008_G_003,Quebec,Stevens,14,1.2,6,1.8,4.5,0.05,0,0.01,0.09,0.32,16.35,Low yield
2010_H_001,Quebec,Stevens,12,1.1,6.1,2.4,10,0.03,0.01,0.02,0.52,0.2,14.52,Low yield
2010_H_002,Quebec,Stevens,11,1.2,5.5,2.4,11.1,0.03,0.01,0.02,0.57,0.17,7.43,Low yield
2009_H_001,Quebec,Stevens,15,1.3,6.2,2.4,8.9,0.06,0.01,0.02,0.63,0.31,42.38,High yield
2009_H_002,Quebec,Stevens,14,1.2,6.1,2.3,9.4,0.05,0.01,0.03,0.61,0.3,32.09,Low yield
2010_I_001,Quebec,Stevens,13,1.1,5.7,2.1,10.1,0.03,0,0.02,0.4,0.14,33.2,Low yield
2010_I_002,Quebec,Stevens,10,1.1,6.8,1.9,7.8,0.03,0,0.02,0.26,0.13,22.27,Low yield
2010_I_003,Quebec,Stevens,12,1.1,6,2,9.7,0.05,0,0.02,0.3,0.13,23.15,Low yield
2009_I_001,Quebec,Stevens,12,1,1.7,8.6,5.9,0.01,0,0.02,0.32,0.27,,Low yield
2009_I_002,Quebec,Stevens,12,1.1,1.7,8.2,6.2,0.01,0,0.03,0.21,0.24,,Low yield
2009_I_003,Quebec,Stevens,13,1.1,1.7,8.9,6,0.01,0.01,0.03,0.27,0.25,,Low yield
2008_W_001,Wisconsin,Stevens,,,,,,,,,,,,Low yield
2008_W_002,Wisconsin,Stevens,,,,,,,,,,,45.84,High yield
2008_W_003,Wisconsin,Stevens,8.2,1.3,5.2,,,,,,,,27.2,Low yield
2008_W_004,Wisconsin,Grygleski Hybrid 1,,,,,,,,,,,,Low yield
2008_W_005,Wisconsin,Grygleski Hybrid 1,,,,,,,,,,,,Low yield
2009_W_001,Wisconsin,Stevens,10.1,1.9,6.4,,,,,,,,24.14,Low yield
2009_W_002,Wisconsin,Stevens,10.7,1.8,6.6,,,,,,,,26.15,Low yield
2009_W_003,Wisconsin,Stevens,9.8,1.6,6.3,,,,,,,,15.43,Low yield
2009_W_004,Wisconsin,Grygleski Hybrid 1,,,,,,,,,,,,Low yield
2009_W_005,Wisconsin,Grygleski Hybrid 1,,,,,,,,,,,,Low yield
2010_W_001,Wisconsin,Stevens,11,1.3,6,,,,,,,,11.8,Low yield
2010_W_002,Wisconsin,Stevens,12,1.4,6,,,,,,,,25.29,Low yield
2010_W_003,Wisconsin,Stevens,12,1.2,6,,,,,,,,27.46,Low yield
2010_W_004,Wisconsin,Grygleski Hybrid 1,8,1.1,7,,,,,,,,,Low yield
2010_W_005,Wisconsin,Grygleski Hybrid 1,,,,,,,,,,,,Low yield
2011_W_001,Wisconsin,Stevens,10.1,1.5,6.5,,,,,,,,27.5,Low yield
2011_W_002,Wisconsin,Stevens,10.4,1.6,7,,,,,,,,32.7,Low yield
2011_W_003,Wisconsin,Stevens,9.7,1.3,5.8,,,,,,,,27.57,Low yield
2011_W_004,Wisconsin,Grygleski Hybrid 1,8.6,1,5.9,,,,,,,,12.07,Low yield
2011_W_005,Wisconsin,Grygleski Hybrid 1,7.6,1,5.6,,,,,,,,,Low yield
2012_W_001,Wisconsin,Stevens,9.7,1.7,6,,,,,,,,16.67,Low yield
2012_W_002,Wisconsin,Stevens,9.5,1.6,5.4,,,,,,,,26.64,Low yield
2012_W_003,Wisconsin,Stevens,10,1.5,5.9,,,,,,,,9.09,Low yield
2012_W_004,Wisconsin,Grygleski Hybrid 1,9,1,5.1,,,,,,,,46.42,High yield
2012_W_005,Wisconsin,Grygleski Hybrid 1,7.4,1,5.5,,,,,,,,2.39,Low yield
2013_W_001,Wisconsin,Stevens,11.2,1.9,7,,,,,,,,22.3,Low yield
2013_W_002,Wisconsin,Stevens,11.2,1.8,6.8,,,,,,,,27.97,Low yield
2013_W_003,Wisconsin,Stevens,10.9,1.7,6.7,,,,,,,,34.43,Low yield
2013_W_004,Wisconsin,Grygleski Hybrid 1,11.6,1.2,6.4,,,,,,,,45.28,High yield
2013_W_005,Wisconsin,Grygleski Hybrid 1,10.9,1.3,5.6,,,,,,,,16.06,Low yield
2014_W_001,Wisconsin,Stevens,10.4,1.7,5.8,,,,,,,,32.66,Low yield
2014_W_002,Wisconsin,Stevens,11.3,1.7,5.3,,,,,,,,49.13,High yield
2014_W_003,Wisconsin,Stevens,11,1.8,6.2,,,,,,,,40.71,High yield
2014_W_004,Wisconsin,Grygleski Hybrid 1,10.7,1.2,5.9,,,,,,,,43.21,High yield
2014_W_005,Wisconsin,Grygleski Hybrid 1,11,1.6,5.6,,,,,,,,36.32,Low yield
2015_W_001,Wisconsin,Stevens,,,,,,,,,,,10.05,Low yield
2015_W_002,Wisconsin,Stevens,9.7,1.7,6.3,,,,,,,,11.45,Low yield
2015_W_003,Wisconsin,Stevens,9.8,1.7,7.2,,,,,,,,11.92,Low yield
2015_W_004,Wisconsin,Grygleski Hybrid 1,9.9,1.3,6.2,,,,,,,,14.03,Low yield
2015_W_005,Wisconsin,Grygleski Hybrid 1,10,1.5,6.1,,,,,,,,16.82,Low yield
2016_W_001,Wisconsin,Stevens,,,,,,,,,,,,Low yield
2016_W_002,Wisconsin,Stevens,,,,,,,,,,,,Low yield
2016_W_003,Wisconsin,Stevens,,,,,,,,,,,,Low yield
2016_W_004,Wisconsin,Grygleski Hybrid 1,,,,,,,,,,,,Low yield
2016_W_005,Wisconsin,Grygleski Hybrid 1,,,,,,,,,,,,Low yield
2017_W_001,Wisconsin,Stevens,7.1,1.4,5.2,,,,,,,,36.37,Low yield
2017_W_002,Wisconsin,Stevens,9,1,5,,,,,,,,48.5,High yield
2017_W_003,Wisconsin,Stevens,9.9,1,5,,,,,,,,40.2,High yield
2017_W_004,Wisconsin,Grygleski Hybrid 1,12,1,5.1,,,,,,,,38.04,Low yield
2017_W_005,Wisconsin,Grygleski Hybrid 1,12,1.3,5,,,,,,,,47.76,High yield
2013_W_006,Wisconsin,Grygleski Hybrid 1,9,1.5,6,1.9,7.1,0.024,0.0033,0.0094,0.3913,0.0913,38.05,Low yield
2013_W_007,Wisconsin,McFarlin,8,1.4,4.9,1.9,6.6,0.0267,0.0039,0.0186,0.6512,0.1429,27.62,Low yield
2013_W_008,Wisconsin,LeMunyon,8.5,1.1,4.8,2.1,7.2,0.0231,0.0042,0.0207,0.7929,0.0917,47.54,High yield
2013_W_009,Wisconsin,Searles,7.2,1.4,4.8,2.1,7.6,0.0284,0.0057,0.0217,0.6718,0.081,43.64,High yield
2013_W_010,Wisconsin,Searles,6.9,1.2,4.6,1.9,6.6,0.026,0.0028,0.0143,0.5752,0.0869,38.08,Low yield
2013_W_011,Wisconsin,Crimson Queen,7.4,1.2,6.2,2.3,9.2,0.0231,0.0031,0.0171,1.2436,0.069,0,Low yield
2013_W_012,Wisconsin,Searles,7.7,1.1,4.6,1.9,7.2,0.0243,0.0039,0.0178,0.6938,0.1473,38.04,Low yield
2013_W_013,Wisconsin,Stevens,7.5,1.4,5.5,2.2,6.9,0.0262,0.0044,0.0195,1.0867,0.1121,41.42,High yield
2013_W_014,Wisconsin,Ben Lear,8,1.3,6.1,2,7,0.029,0.0029,0.0132,0.7909,0.0718,37.5,Low yield
2013_W_015,Wisconsin,Pilgrim,8.5,1.1,5.1,1.9,7.3,0.0252,0.0032,0.0157,1.0263,0.1253,54.85,High yield
2013_W_016,Wisconsin,Stevens,7.2,1.2,6,2.1,7.5,0.0336,0.0046,0.0189,1.0367,0.1093,49.28,High yield
2013_W_017,Wisconsin,Ben Lear,8.2,1.4,6.2,2.1,8.1,0.0293,0.0044,0.0176,0.8394,0.0654,41.43,High yield
2013_W_018,Wisconsin,Stevens,7.4,1,5.1,2.5,8.1,0.0256,0.0037,0.0159,1.0542,0.142,18.98,Low yield
2013_W_019,Wisconsin,LeMunyon,8.6,1.2,5.5,2.2,7.7,0.0335,0.0045,0.02,0.5626,0.1291,24.64,Low yield
2014_W_006,Wisconsin,Grygleski Hybrid 1,7.5,0.8,4.4,1.2,5.8,0.0203,0.0035,0.0101,0.4134,0.1102,24.04,Low yield
2014_W_007,Wisconsin,Grygleski Hybrid 1,10.1,1,4.6,1.5,8.5,0.0299,0.0037,0.0143,1.0421,0.0687,34.69,Low yield
2014_W_008,Wisconsin,Grygleski Hybrid 1,18.2,1.9,8.3,1.7,4.5,0.0183,0.0053,0.0148,0.4302,0.2308,0,Low yield
2014_W_009,Wisconsin,Searles,10.2,1.4,5.1,2,6.7,0.0306,0.0048,0.0182,0.5859,0.0489,16.8,Low yield
2014_W_010,Wisconsin,Pilgrim,8,1.2,5.5,2.1,6.7,0.027,0.0041,0.0156,0.7626,0.0673,0,Low yield
2014_W_011,Wisconsin,Searles,8.8,1.1,5.4,1.6,6,0.0223,0.0044,0.0149,0.4669,0.0521,13.44,Low yield
2014_W_012,Wisconsin,Crimson Queen,10.2,1.4,6.9,2,9.3,0.0243,0.0036,0.0165,1.1976,0.0596,11.72,Low yield
2014_W_013,Wisconsin,Searles,7.8,1,4.7,1.7,5.8,0.0204,0.0035,0.0149,0.4287,0.0481,11.76,Low yield
2014_W_014,Wisconsin,Stevens,7.2,1.3,5.6,1.7,5.2,0.0261,0.0044,0.0168,0.8306,0.0526,11.75,Low yield
2014_W_015,Wisconsin,Ben Lear,8.3,1.2,5.4,1.9,7.8,0.0234,0.0044,0.0163,0.7674,0.0574,15.66,Low yield
2014_W_016,Wisconsin,Pilgrim,8.6,1.2,5.4,1.7,5.6,0.0235,0.0046,0.0143,0.6353,0.0561,22.4,Low yield
2014_W_017,Wisconsin,Stevens,7.7,1.1,6,1.7,5.7,0.0231,0.0051,0.0146,0.6249,0.0651,17.92,Low yield
2014_W_018,Wisconsin,Ben Lear,8.6,1.3,5.4,1.8,7.8,0.0251,0.0056,0.0216,0.9431,0.0701,,Low yield
2014_W_019,Wisconsin,Stevens,7.8,1,5.1,1.9,8.3,0.032,0.0054,0.0236,1.0941,0.0584,,Low yield
2014_W_020,Wisconsin,LeMunyon,8.8,1.2,5,2.1,9.6,0.0252,0.005,0.0228,0.8809,0.0465,,Low yield
2015_W_006,Wisconsin,Grygleski Hybrid 1,6.9,0.8,5,1.2,5.4,0.0169,0.0027,0.0016,0.3614,0.1974,,Low yield
2015_W_007,Wisconsin,Grygleski Hybrid 1,7,0.7,4.7,1.2,5.4,0.016,0.0016,0.0016,0.4932,0.2935,,Low yield
2015_W_008,Wisconsin,Grygleski Hybrid 1,7.7,0.8,5.7,1.3,5.9,0.0091,0.0025,0.0017,0.7467,0.0846,,Low yield
2015_W_009,Wisconsin,Searles,7.2,1,4.8,1.3,5.4,0.0174,0.0032,0.0019,0.585,0.148,,Low yield
2015_W_010,Wisconsin,Pilgrim,7.2,0.9,5.2,1.4,5.4,0.0147,0.0027,0.0017,0.6376,0.2073,,Low yield
2015_W_011,Wisconsin,Searles,6.7,1,4.5,1.3,5,0.0176,0.003,0.0016,0.492,0.1986,,Low yield
2015_W_012,Wisconsin,Crimson Queen,10.1,1.2,5.9,1.8,6.3,0.0147,0.0027,0.0016,1.0019,0.2877,,Low yield
2015_W_013,Wisconsin,Searles,6.7,1,4.8,1.5,6.5,0.023,0.0028,0.0018,0.6411,0.2193,,Low yield
2015_W_014,Wisconsin,Stevens,7.2,1.3,4.9,1.8,5.6,0.0244,0.0034,0.002,0.9094,0.1907,,Low yield
2015_W_015,Wisconsin,Ben Lear,7.4,1.2,5.8,1.6,6.3,0.0199,0.0034,0.0018,0.9662,0.1894,,Low yield
2015_W_016,Wisconsin,Pilgrim,7.8,1.1,6,1.6,5.6,0.0175,0.0034,0.0019,0.7567,0.1165,,Low yield
2015_W_017,Wisconsin,Stevens,7.8,1.3,6.7,1.5,5.1,0.0182,0.0043,0.0049,0.6113,0.1038,,Low yield
2015_W_018,Wisconsin,Ben Lear,7.5,1.2,5.6,1.4,5.7,0.0225,0.0037,0.0021,0.643,0.2038,,Low yield
2015_W_019,Wisconsin,Stevens,7,0.8,5.2,1.4,5.9,0.0157,0.0047,0.0069,0.7698,0.1307,,Low yield
2015_W_020,Wisconsin,Stevens,6.2,0.8,4.6,1.5,5.5,0.0159,0.0042,0.002,0.7529,0.3614,,Low yield
2015_W_021,Wisconsin,LeMunyon,6.6,0.8,4.6,1.5,5.2,0.0174,0.0031,0.002,0.3917,0.2411,,Low yield
2016_W_006,Wisconsin,Grygleski Hybrid 1,6.4,0.9,4.5,1.6,8.8,0.0181,0.0031,0.012,0.6755,0.0957,24.64,Low yield
2016_W_007,Wisconsin,Grygleski Hybrid 1,5.6,0.8,4.1,1.5,7.4,0.0116,0.0032,0.0106,0.7011,0.1338,25.52,Low yield
2016_W_008,Wisconsin,Grygleski Hybrid 1,8,0.9,4.9,1.3,6.9,0.011,0.0036,0.0126,0.9211,0.0432,16.33,Low yield
2016_W_009,Wisconsin,Searles,7.5,1.1,3.9,2,7.9,0.0217,0.0038,0.0184,0.6142,0.0501,34.35,Low yield
2016_W_010,Wisconsin,Pilgrim,5.6,0.8,4.2,1.8,7.9,0.0162,0.0031,0.0151,0.6846,0.1182,26.63,Low yield
2016_W_011,Wisconsin,Searles,6.9,1,4.3,1.9,7.3,0.0171,0.0032,0.0188,0.7719,0.0809,30.69,Low yield
2016_W_012,Wisconsin,Crimson Queen,6.2,1,4.6,1.8,8.3,0.0117,0.0031,0.0142,0.8198,0.0415,34.57,Low yield
2016_W_013,Wisconsin,Searles,6.1,0.9,4.4,1.7,7.6,0.0195,0.0032,0.016,0.7282,0.1239,30,Low yield
2016_W_014,Wisconsin,Stevens,7.2,1.1,4.4,2.3,7.9,0.0282,0.0041,0.0228,0.9653,0.0611,35.15,Low yield
2016_W_015,Wisconsin,Ben Lear,9.9,1.2,6.8,1.6,6.6,0.0341,0.004,0.017,0.434,0.042,28.41,Low yield
2016_W_016,Wisconsin,Pilgrim,8.2,1.1,4.9,2,7.7,0.0333,0.0055,0.0192,0.6787,0.0647,39.85,Low yield
2016_W_017,Wisconsin,Stevens,7.5,1.1,4.9,2,7.5,0.043,0.0042,0.0179,0.5873,0.063,38.08,Low yield
2016_W_018,Wisconsin,Ben Lear,6.9,1.4,5.5,2.1,8.2,0.052,0.0038,0.0175,0.4309,0.0637,27.87,Low yield
2016_W_019,Wisconsin,Stevens,6.7,0.9,3.9,2.1,8.9,0.0197,0.0053,0.0271,0.7015,0.0589,51.72,High yield
2016_W_020,Wisconsin,Stevens,7.5,0.8,4.1,1.9,7.7,0.0147,0.0043,0.0165,0.9999,0.0643,58.88,High yield
2016_W_021,Wisconsin,LeMunyon,6.6,1,4.4,2,7.8,0.0142,0.004,0.0191,0.4491,0.0824,,Low yield
2017_W_006,Wisconsin,Grygleski Hybrid 1,6.9,0.7,3.5,1.2,6.6,0.0167,0.006,0.0086,0.4218,0.9863,17.92,Low yield
2017_W_007,Wisconsin,Grygleski Hybrid 1,7.6,0.8,3.7,1.4,7.1,0.0171,0.0064,0.0075,0.474,0.9999,32.1,Low yield
2017_W_008,Wisconsin,Grygleski Hybrid 1,8.8,0.7,3.6,1.2,7,0.0141,0.0063,0.0077,0.7196,0.999,22.4,Low yield
