ID,Region,Cultivar,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Fruit_yield_Mg_ha,Yield class
2015_008,Quebec,Stevens,11.37,0.851,3.506,1.841,5.17,0.06,0.001,0.072,0.175,0.103,20,Low yield
2015_009,Quebec,Stevens,13.253,0.924,4.087,1.829,5.101,0.06,0.002,0.079,0.162,0.088,38.86,Low yield
2015_010,Quebec,Stevens,7.6803,,,,,,,,,,29.05,Low yield
2015_011,Quebec,Stevens,10.991,0.787,3.825,1.887,4.977,0.06,0.001,0.088,0.188,0.071,27.9,Low yield
2015_012,Quebec,Stevens,10.993,0.81,3.629,1.911,4.96,0.06,0.001,0.091,0.152,0.068,22.6,Low yield
2015_013,Quebec,Stevens,11.193,0.821,4.026,1.884,4.83,0.08,0.001,0.078,0.15,0.115,41.97,High yield
2015_014,Quebec,Stevens,12.021,0.857,3.406,1.918,4.981,0.06,0.001,0.075,0.143,0.071,23.93,Low yield
2015_015,Quebec,Stevens,11.125,0.859,4.048,1.83,5.702,0.06,0.001,0.066,0.149,0.109,30.85,Low yield
2015_016,Quebec,Stevens,12.236,0.953,3.684,2.072,5.456,0.06,0.001,0.072,0.17,0.076,26.58,Low yield
2015_017,Quebec,Stevens,11.927,0.853,3.51,1.869,5.624,0.07,0.001,0.062,0.141,0.111,37.09,Low yield
2015_018,Quebec,Stevens,12.146,0.962,3.512,2.37,5.334,0.07,0.002,0.062,0.187,0.078,23.72,Low yield
2015_019,Quebec,Stevens,11.267,0.88,3.473,2.208,5.853,0.07,0.001,0.086,0.191,0.136,32.68,Low yield
2015_020,Quebec,Stevens,11.295,0.894,3.683,1.893,5.111,0.06,0.001,0.07,0.167,0.04,29.38,Low yield
2015_021,Quebec,Stevens,11.857,0.85,4.109,2.002,5.107,0.08,0.001,0.073,0.144,0.083,35.92,Low yield
2015_022,Quebec,Stevens,12.02,0.959,3.685,2.132,5.512,0.06,0.001,0.068,0.188,0.032,24.09,Low yield
2015_023,Quebec,Stevens,11.218,0.817,3.962,1.874,5.18,0.06,0.001,0.06,0.141,0.067,24.93,Low yield
2015_024,Quebec,Stevens,13.011,0.958,3.724,1.735,4.704,0.05,0.002,0.05,0.127,0.037,32.51,Low yield
2015_025,Quebec,Stevens,10.276,0.884,3.896,2.003,5.309,0.04,0.001,0.045,0.163,0.072,28.83,Low yield
2015_026,Quebec,Stevens,11.405,0.841,3.727,1.939,5.146,0.03,0,0.059,0.146,0.094,34.25,Low yield
2015_027,Quebec,Stevens,12.358,0.778,4.584,1.576,5.167,0.06,0.005,0.055,0.146,0.054,31.66,Low yield
2015_028,Quebec,Stevens,11.557,0.773,3.671,1.83,5.057,0.05,0.003,0.063,0.18,0.046,24.48,Low yield
2015_029,Quebec,Stevens,11.265,0.765,3.885,1.896,5.654,0.06,0.003,0.064,0.199,0.065,22.31,Low yield
2015_030,Quebec,Stevens,10.961,0.785,3.932,1.968,5.125,0.07,0.002,0.043,0.143,0.036,38.04,Low yield
2015_031,Quebec,Stevens,11.678,0.732,3.986,1.98,5.506,0.08,0.002,0.052,0.164,0.055,39.88,Low yield
2015_032,Quebec,Stevens,11.189,0.77,4.018,2.019,5.019,0.07,0.002,0.063,0.139,0.049,24.89,Low yield
2015_033,Quebec,Stevens,10.771,0.739,4.05,1.636,4.782,0.07,0.002,0.064,0.174,0.042,24.14,Low yield
2015_034,Quebec,Stevens,11.878,0.764,3.802,1.51,5.102,0.04,0.003,0.059,0.15,0.077,22.53,Low yield
2015_035,Quebec,Stevens,12.011,0.799,4.216,1.778,5.895,0.07,0.003,0.045,0.156,0.074,39.03,Low yield
2015_036,Quebec,Stevens,10.217,0.729,3.631,1.835,5.137,0.05,0.004,0.046,0.155,0.084,29.91,Low yield
2015_037,Quebec,Stevens,5.7935,0.662,4.148,1.055,5.123,0.09,0.003,0.043,0.176,0.159,7.19,Low yield
2015_038,Quebec,Stevens,5.8573,0.686,4.449,1.467,5.712,0.09,0.001,0.047,0.204,0.085,17.37,Low yield
2015_039,Quebec,Stevens,7.0187,0.683,4.283,1.532,5.826,0.08,0.001,0.041,0.193,0.115,16.27,Low yield
2015_040,Quebec,Stevens,6.58,0.655,4.531,1.466,5.703,0.1,0.001,0.042,0.244,0.064,6.45,Low yield
2015_041,Quebec,Stevens,8.1231,0.608,4.25,1.41,5.307,0.08,0.001,0.053,0.172,0.081,24.6,Low yield
2015_042,Quebec,Stevens,8.3847,0.631,3.898,1.479,4.887,0.07,0.001,0.044,0.185,0.043,18.87,Low yield
2015_043,Quebec,Stevens,10.5,0.678,4.31,1.326,4.995,0.09,0.001,0.049,0.169,0.042,34.24,Low yield
2015_044,Quebec,Stevens,10.772,0.65,4.322,1.415,5.026,0.07,0.001,0.041,0.162,0.017,26.08,Low yield
2015_045,Quebec,Stevens,10.83,0.702,4.075,1.389,4.749,0.05,0.001,0.042,0.153,0.013,49.71,High yield
2015_046,Quebec,Stevens,11.259,0.702,3.916,1.41,4.862,0.07,0.001,0.04,0.19,0.015,20.09,Low yield
2015_047,Quebec,Stevens,10.993,0.694,4.588,1.388,5.03,0.07,0.001,0.042,0.19,0.037,34.13,Low yield
2015_048,Quebec,Stevens,11.011,0.67,4.183,1.319,4.574,0.06,0.001,0.051,0.174,0.011,42.34,High yield
2015_049,Quebec,Stevens,10.489,0.718,4.602,1.381,5.026,0.06,0.001,0.043,0.158,0.03,28.34,Low yield
2015_050,Quebec,Stevens,11.174,0.779,4.672,1.498,5.292,0.09,0.001,0.054,0.191,0.024,33.07,Low yield
