Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Region,Cultivar,Yield class,ID,Yield class(Random Forest)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,Massachusetts Quebec Washington Wisconsin,BG Ben\ Lear Bergman Crimson\ Queen DeMoranville Early\ Black Grygleski\ Hybrid\ 1 Howes HyRed LeMunyon McFarlin Mullica\ Queen Pilgrim Ruby\ Star Searles Stevens Sundance Wilcox,High\ yield Low\ yield,string,High\ yield Low\ yield
,,,,,,,,,,,,class,meta,meta
0.505,0.0735,11.0,1.1,5.0,1.7,9.4,0.0236,0.00331,0.0196,Quebec,Stevens,High yield,2000_157,High yield
0.3099,0.4265,9.1,2.1,8.5,2.1,9.5,0.0456,0.0026,0.0249,Wisconsin,Crimson Queen,High yield,AA_009,High yield
0.20019,0.1054,9.9126,1.26662,4.96135,2.2233,9.95578,0.03636,0.00536,0.02484,Quebec,Stevens,High yield,2018_033,High yield
0.20505,0.06427,10.709,1.37572,6.41438,2.20392,7.62242,0.0361,0.00505,0.02124,Quebec,Stevens,High yield,2018_131,High yield
0.2305,0.1556,9.6,1.2,5.3,2.6,12.6,0.0868,0.0027,0.0158,Wisconsin,Crimson Queen,High yield,AA_027,High yield
0.149,0.079,9.8105,0.865,4.979,1.786,7.337,0.0466,0.003,0.013,Quebec,Stevens,High yield,2014_024,High yield
0.31,0.06,10.0,1.1,4.9,2.3,10.0,0.02,0.0,0.03,Quebec,Stevens,High yield,2016_AB_017,High yield
0.184326269,0.058618506,9.8203,1.083182642,5.708614271,1.749321769,6.595020572,0.091506,0.003695599,0.018332466,Quebec,Stevens,High yield,2016_135,High yield
0.34228,0.06827,10.05,1.17662,5.34976,2.26608,9.20648,0.04433,0.00527,0.02584,Quebec,Stevens,High yield,2018_113,High yield
0.446207341,0.053971713,11.116,1.279295926,6.333859862,2.068879744,8.164847009,0.10235031,0.00479287,0.029343818,Quebec,Stevens,High yield,2016_078,High yield
0.225660829,0.046289558,10.024,1.168201195,5.678843764,1.845191664,6.939266763,0.08662969,0.00366958,0.018606827,Quebec,Stevens,High yield,2016_130,High yield
